,cost,time
#1,617.983,72.09
#2,576.667,73.28
#3,672.617,72.45
#4,638.967,69.53
#5,627.233,68.56
#6,601.433,66.24
#7,606.817,66.97
#8,628.967,65.37
#9,605.4,65.03
#10,620.717,67.58
#11,634.25,67.66
#12,615.933,66.62
#13,641.9,66.3
#14,632.217,66.13
#15,611.467,66.03
#16,643.883,66.69
#17,601.65,68.31
#18,613.0,65.99
#19,605.817,67.07
#20,659.283,66.99
#21,596.367,67.33
#22,617.267,65.84
#23,651.833,68.22
#24,605.883,65.93
#25,642.217,65.78
#26,640.633,67.85
#27,608.017,67.02
#28,637.417,65.97
#29,608.567,67.22
#30,674.933,65.78
median,619.35,66.98
avg,624.6445,67.3943333333
