,cost,time
#1,320.167,1.85
#2,293.25,1.89
#3,320.167,1.84
#4,293.25,1.79
#5,377.25,1.95
#6,293.25,1.95
#7,320.167,1.86
#8,375.5,1.79
#9,365.617,1.97
#10,365.617,1.9
#11,293.25,1.89
#12,365.617,1.9
#13,293.25,1.91
#14,355.167,1.86
#15,293.25,1.89
#16,365.617,1.94
#17,293.25,1.85
#18,293.25,1.9
#19,293.25,1.84
#20,320.167,1.95
#21,411.75,1.74
#22,320.167,1.88
#23,293.25,1.84
#24,293.25,1.81
#25,320.167,1.9
#26,320.167,1.79
#27,293.25,1.87
#28,293.25,1.82
#29,320.167,1.9
#30,320.167,1.91
median,320.167,1.885
avg,322.5296,1.87266666667
