,cost,time
#1,481.617,72.16
#2,481.9,71.94
#3,495.983,73.69
#4,496.433,71.33
#5,478.017,71.76
#6,486.5,71.53
#7,489.117,72.56
#8,509.533,72.38
#9,487.45,72.68
#10,472.033,70.75
#11,484.067,71.17
#12,499.617,74.4
#13,486.683,70.96
#14,498.2,71.84
#15,452.967,71.43
#16,502.633,71.34
#17,484.633,71.74
#18,511.367,72.55
#19,495.783,71.42
#20,474.783,71.84
#21,487.617,72.6
#22,465.417,72.35
#23,499.767,71.79
#24,481.367,72.75
#25,490.0,72.24
#26,477.083,72.18
#27,476.85,72.07
#28,473.183,74.42
#29,488.35,72.26
#30,491.383,72.77
median,487.0665,72.115
avg,486.677766667,72.1633333333
