,cost,time
#1,558.0,37.55
#2,576.167,38.18
#3,571.0,38.61
#4,545.75,38.68
#5,520.667,38.47
#6,582.417,38.48
#7,559.0,38.56
#8,525.417,38.93
#9,549.0,37.19
#10,601.083,37.57
#11,552.833,38.09
#12,551.083,37.95
#13,585.0,38.63
#14,559.917,38.44
#15,582.25,38.0
#16,554.833,38.51
#17,566.833,38.3
#18,574.833,38.66
#19,580.5,38.03
#20,580.583,38.47
#21,561.417,38.38
#22,563.5,38.78
#23,586.417,37.91
#24,581.667,38.34
#25,571.167,38.64
#26,549.333,39.05
#27,477.75,37.54
#28,566.667,38.27
#29,539.917,38.65
#30,545.583,38.17
median,562.4585,38.41
avg,560.686133333,38.301
