Optimize a model with 7551 rows, 127449 columns and 386560 nonzeros
Model has 2450 quadratic objective terms
Model has 2500 quadratic constraints
Coefficient statistics:
  Matrix range    [1e+00, 1e+03]
  Objective range [0e+00, 0e+00]
  Bounds range    [1e+00, 5e+01]
  RHS range       [1e+00, 1e+04]
Presolve removed 199 rows and 7202 columns
Presolve time: 0.61s
Presolved: 473494 rows, 353293 columns, 1756027 nonzeros
Variable types: 235496 continuous, 117797 integer (117748 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   47996    7.4201125e-04   4.445098e+03   0.000000e+00      5s
   73533    1.1869059e-03   9.239315e+03   0.000000e+00     10s
   82874    1.2950668e-03   6.037177e+03   0.000000e+00     15s
   87882    1.3440248e-03   9.026237e+03   0.000000e+00     20s
   91113    1.3775216e-03   3.231567e+04   0.000000e+00     26s
   93267    1.3973280e-03   2.153326e+04   0.000000e+00     31s
   95436    1.4169818e-03   1.800347e+04   0.000000e+00     36s
   97949    1.4426787e-03   2.708197e+04   0.000000e+00     40s
  100462    1.4624974e-03   1.805717e+04   0.000000e+00     45s
  106231    1.4906988e-03   8.527121e+03   0.000000e+00     50s
  111257    1.5132879e-03   6.964671e+03   0.000000e+00     55s
  115924    1.5356867e-03   6.616155e+03   0.000000e+00     61s
  119514    1.5517474e-03   1.050563e+04   0.000000e+00     65s
  122745    1.5654164e-03   7.515628e+03   0.000000e+00     71s
  125258    1.5744163e-03   1.279119e+04   0.000000e+00     76s
  128489    1.5831878e-03   7.083196e+03   0.000000e+00     81s
  131720    1.5942135e-03   1.441044e+04   0.000000e+00     85s
  134592    1.6084469e-03   1.572317e+04   0.000000e+00     90s
  137823    1.6205540e-03   2.956457e+04   0.000000e+00     95s
  140336    1.6271282e-03   3.435340e+04   0.000000e+00    100s
  143567    1.6349538e-03   4.106050e+04   0.000000e+00    106s
  146798    1.6419188e-03   1.203123e+04   0.000000e+00    110s
  149311    1.6479232e-03   3.039964e+04   0.000000e+00    116s
  151465    1.6523388e-03   9.073307e+03   0.000000e+00    120s
  153978    1.6597029e-03   2.255372e+04   0.000000e+00    126s
  156850    1.6702686e-03   1.821095e+04   0.000000e+00    131s
  159363    1.6774123e-03   9.447715e+03   0.000000e+00    135s
  161876    1.6852585e-03   1.325662e+04   0.000000e+00    141s
  164389    1.6907689e-03   1.100202e+04   0.000000e+00    145s
  166543    1.6952372e-03   4.199062e+04   0.000000e+00    150s
  168338    1.7267056e-03   8.695017e+03   0.000000e+00    155s
  169774    1.7465659e-03   1.885923e+04   0.000000e+00    160s
  171210    1.7583499e-03   3.560543e+04   0.000000e+00    166s
  172287    1.7677421e-03   3.484174e+04   0.000000e+00    171s
  174082    1.8051875e-03   8.183183e+03   0.000000e+00    175s
  175518    1.8178310e-03   1.001782e+04   0.000000e+00    180s
  177313    1.8455096e-03   9.217937e+03   0.000000e+00    186s
  179108    1.8693704e-03   3.236629e+04   0.000000e+00    191s
  180185    1.8767448e-03   4.346176e+04   0.000000e+00    196s
  181621    1.8979049e-03   5.186463e+04   0.000000e+00    201s
  183775    6.1001948e+01   6.882028e+04   0.000000e+00    205s
  185211    6.1001957e+01   3.276381e+04   0.000000e+00    211s
  186288    6.1001970e+01   2.587665e+04   0.000000e+00    215s
  187724    6.1001986e+01   4.693183e+04   0.000000e+00    220s
  189878    6.1002019e+01   1.310995e+04   0.000000e+00    227s
  190955    6.1002030e+01   3.872047e+04   0.000000e+00    230s
  192391    6.1002044e+01   2.008386e+04   0.000000e+00    236s
  193827    6.1002050e+01   4.069060e+04   0.000000e+00    242s
  195622    6.1002097e+01   8.619804e+04   0.000000e+00    246s
  196699    6.1002102e+01   9.654994e+04   0.000000e+00    250s
  198494    6.1002113e+01   5.898192e+03   0.000000e+00    257s
  199571    6.1002119e+01   6.635477e+04   0.000000e+00    261s
  200648    6.1002123e+01   3.264514e+04   0.000000e+00    266s
  201725    6.1002127e+01   6.999717e+04   0.000000e+00    270s
  202802    6.1002132e+01   9.181465e+04   0.000000e+00    275s
  204956    6.1002152e+01   1.684356e+04   0.000000e+00    281s
  206392    6.1002169e+01   2.078986e+04   0.000000e+00    285s
  208546    6.1002229e+01   2.405625e+04   0.000000e+00    290s
  210700    6.1002257e+01   6.469061e+03   0.000000e+00    295s
  212495    6.1002271e+01   6.743770e+03   0.000000e+00    300s
  214649    6.1002307e+01   8.966297e+03   0.000000e+00    306s
  216803    6.1002334e+01   5.045083e+04   0.000000e+00    312s
  217880    6.1002340e+01   8.560478e+03   0.000000e+00    315s
  219316    6.1002345e+01   5.286221e+04   0.000000e+00    321s
  220393    6.1002349e+01   1.636782e+04   0.000000e+00    325s
  223265    6.1002386e+01   9.266872e+03   0.000000e+00    330s
  224701    6.1002409e+01   1.119418e+04   0.000000e+00    336s
  226496    6.1002421e+01   4.301227e+04   0.000000e+00    341s
  227573    6.1002424e+01   1.202948e+04   0.000000e+00    346s
  229009    6.1002435e+01   5.923727e+04   0.000000e+00    351s
  230086    6.1002441e+01   2.964873e+04   0.000000e+00    355s
  232599    6.1002466e+01   4.756716e+04   0.000000e+00    362s
  233676    6.1002470e+01   4.071169e+04   0.000000e+00    366s
  234753    6.1002475e+01   5.990640e+04   0.000000e+00    371s
  236548    6.1002489e+01   2.350975e+04   0.000000e+00    376s
  239061    6.1002563e+01   3.125397e+04   0.000000e+00    380s
  240856    6.1002582e+01   3.971427e+04   0.000000e+00    386s
  242292    6.1002589e+01   1.537962e+04   0.000000e+00    391s
  243728    6.1002602e+01   1.292433e+05   0.000000e+00    396s
  245164    6.1002617e+01   1.482610e+05   0.000000e+00    400s
  246600    6.1002624e+01   2.537614e+04   0.000000e+00    406s
  248395    6.1002664e+01   6.541873e+03   0.000000e+00    411s
  250908    6.1002746e+01   5.896871e+04   0.000000e+00    416s
  252344    6.1002756e+01   2.195616e+04   0.000000e+00    421s
  253421    6.1002760e+01   1.686456e+04   0.000000e+00    425s
  254857    6.1002768e+01   1.982182e+04   0.000000e+00    431s
  256293    6.1002777e+01   2.594411e+04   0.000000e+00    435s
  257729    6.1002787e+01   1.067272e+04   0.000000e+00    441s
  259165    6.1002795e+01   9.227418e+03   0.000000e+00    446s
  260242    6.1002799e+01   5.377413e+04   0.000000e+00    451s
  261678    6.1002810e+01   8.568295e+04   0.000000e+00    455s
  263114    6.1002816e+01   9.227514e+04   0.000000e+00    461s
  264191    6.1002819e+01   1.038717e+04   0.000000e+00    466s
  265268    6.1002823e+01   6.255597e+03   0.000000e+00    471s
  266345    6.1002826e+01   1.446776e+04   0.000000e+00    475s
  268140    6.1002845e+01   5.403494e+03   0.000000e+00    480s
  269576    6.1002852e+01   6.834656e+04   0.000000e+00    486s
  270653    6.1002855e+01   1.562523e+04   0.000000e+00    491s
  271730    6.1002859e+01   2.083727e+04   0.000000e+00    496s
  272807    6.1002863e+01   6.808503e+04   0.000000e+00    500s
  274602    6.1002874e+01   6.808180e+03   0.000000e+00    506s
  275679    6.1002879e+01   1.297100e+04   0.000000e+00    511s
  277115    6.1002890e+01   1.076922e+05   0.000000e+00    516s
  278192    6.1002894e+01   5.314682e+03   0.000000e+00    521s
  279269    6.1002896e+01   1.485342e+04   0.000000e+00    525s
  280705    6.1002900e+01   1.877340e+04   0.000000e+00    531s
  281782    6.1002903e+01   1.309080e+05   0.000000e+00    536s
  283577    6.1002921e+01   3.828087e+04   0.000000e+00    540s
  284654    6.1002924e+01   1.432466e+04   0.000000e+00    545s
  286090    6.1002934e+01   1.937748e+04   0.000000e+00    551s
  287167    6.1002937e+01   1.155516e+04   0.000000e+00    556s
  288603    6.1002944e+01   3.383180e+04   0.000000e+00    560s
  290039    6.1002951e+01   2.339247e+04   0.000000e+00    566s
  291116    6.1002956e+01   6.206029e+04   0.000000e+00    570s
  292552    6.1002964e+01   3.090967e+04   0.000000e+00    577s
  293629    6.1002967e+01   1.695753e+04   0.000000e+00    581s
  294706    6.1002970e+01   3.236816e+03   0.000000e+00    585s
  296142    6.1002976e+01   5.015755e+04   0.000000e+00    591s
  297578    6.1002988e+01   5.036290e+03   0.000000e+00    597s
  298296    6.1002989e+01   7.599722e+04   0.000000e+00    600s
  300091    6.1002997e+01   9.041509e+03   0.000000e+00    607s
  301168    6.1003000e+01   1.949358e+04   0.000000e+00    611s
  302245    6.1003002e+01   7.091262e+03   0.000000e+00    616s
  303322    6.1003007e+01   1.017815e+04   0.000000e+00    620s
  304758    6.1003017e+01   1.759734e+05   0.000000e+00    626s
  305835    6.1003020e+01   5.692539e+04   0.000000e+00    631s
  306912    6.1003027e+01   4.218865e+04   0.000000e+00    636s
  308348    6.1003032e+01   9.100545e+03   0.000000e+00    641s
  309425    6.1003035e+01   5.803654e+04   0.000000e+00    646s
  310502    6.1003039e+01   2.637399e+04   0.000000e+00    650s
  312297    6.1003052e+01   5.640935e+04   0.000000e+00    656s
  313374    6.1003056e+01   1.256541e+04   0.000000e+00    661s
  314810    6.1003060e+01   2.918947e+04   0.000000e+00    666s
  315887    6.1003063e+01   5.084930e+03   0.000000e+00    671s
  316964    6.1003068e+01   1.993586e+04   0.000000e+00    676s
  318400    6.1003076e+01   9.278626e+03   0.000000e+00    681s
  319477    6.1003081e+01   3.734849e+04   0.000000e+00    686s
  320554    6.1003083e+01   1.482896e+04   0.000000e+00    691s
  321990    6.1003099e+01   6.638559e+04   0.000000e+00    696s
  323067    6.1003101e+01   1.140699e+04   0.000000e+00    701s
  324144    6.1003103e+01   1.472016e+04   0.000000e+00    706s
  325580    6.1003111e+01   5.714654e+04   0.000000e+00    711s
  327016    6.1003116e+01   3.439594e+04   0.000000e+00    717s
  327734    6.1003118e+01   1.238134e+04   0.000000e+00    720s
  329170    6.1003121e+01   1.656399e+04   0.000000e+00    726s
  330247    6.1003124e+01   1.142235e+04   0.000000e+00    731s
  332042    6.1003138e+01   5.699020e+03   0.000000e+00    736s
  333119    6.1003141e+01   1.113946e+04   0.000000e+00    740s
  334555    6.1003152e+01   3.114473e+04   0.000000e+00    746s
  335632    6.1003155e+01   1.585526e+04   0.000000e+00    751s
  336709    6.1003158e+01   2.487172e+04   0.000000e+00    755s
  337786    6.1003159e+01   1.356919e+04   0.000000e+00    761s
  338863    6.1003162e+01   1.776658e+04   0.000000e+00    765s
  339940    6.1003164e+01   1.069614e+04   0.000000e+00    770s
  341017    6.1003166e+01   2.285019e+04   0.000000e+00    776s
  342094    6.1003167e+01   3.619811e+04   0.000000e+00    781s
  343171    6.1003170e+01   1.150848e+04   0.000000e+00    786s
  344248    6.1003172e+01   1.347250e+04   0.000000e+00    791s
  345325    6.1003174e+01   1.878115e+04   0.000000e+00    795s
  346402    6.1003176e+01   8.055167e+03   0.000000e+00    800s
  347479    6.1003178e+01   2.763653e+04   0.000000e+00    806s
  348556    6.1003181e+01   4.474966e+04   0.000000e+00    811s
  349633    6.1003192e+01   1.986812e+05   0.000000e+00    815s
  351069    6.1003197e+01   5.671980e+03   0.000000e+00    821s
  352864    6.1003213e+01   1.514044e+04   0.000000e+00    827s
  353941    6.1003218e+01   1.899340e+04   0.000000e+00    831s
  355377    6.1003228e+01   2.460116e+04   0.000000e+00    836s
  356454    6.1003230e+01   1.457004e+04   0.000000e+00    842s
  357172    6.1003231e+01   1.953136e+04   0.000000e+00    846s
  358249    6.1003233e+01   6.043754e+03   0.000000e+00    851s
  359326    6.1003235e+01   1.484537e+04   0.000000e+00    856s
  360403    6.1003238e+01   2.277764e+04   0.000000e+00    861s
  361480    6.1003240e+01   1.527432e+04   0.000000e+00    866s
  362557    6.1003243e+01   1.140552e+04   0.000000e+00    871s
  363634    6.1003245e+01   6.105919e+03   0.000000e+00    875s
  364711    6.1003247e+01   1.040319e+04   0.000000e+00    880s
  366147    6.1003252e+01   1.674214e+04   0.000000e+00    886s
  367224    6.1003255e+01   1.191985e+04   0.000000e+00    891s
  368301    6.1003258e+01   3.264790e+04   0.000000e+00    896s
  369378    6.1003263e+01   1.249638e+04   0.000000e+00    900s
  370814    6.1003266e+01   1.262803e+05   0.000000e+00    906s
  371891    6.1003268e+01   1.897639e+04   0.000000e+00    911s
  372968    6.1003276e+01   3.248010e+04   0.000000e+00    916s
  373686    6.1003278e+01   3.750878e+04   0.000000e+00    920s
  374763    6.1003280e+01   2.353286e+04   0.000000e+00    926s
  375840    6.1003282e+01   2.255180e+04   0.000000e+00    932s
  376558    6.1003283e+01   9.941769e+03   0.000000e+00    936s
  377635    6.1003285e+01   2.514908e+05   0.000000e+00    941s
  378712    6.1003288e+01   2.277107e+04   0.000000e+00    947s
  379789    6.1003290e+01   1.876676e+04   0.000000e+00    952s
  380507    6.1003292e+01   9.697011e+03   0.000000e+00    955s
  381584    6.1003295e+01   3.276560e+04   0.000000e+00    961s
  382661    6.1003297e+01   4.149631e+03   0.000000e+00    966s
  383738    6.1003299e+01   1.084679e+04   0.000000e+00    972s
  384456    6.1003300e+01   1.614880e+04   0.000000e+00    976s
  385533    6.1003304e+01   6.302662e+03   0.000000e+00    982s
  386251    6.1003306e+01   8.313836e+03   0.000000e+00    985s
  387328    6.1003311e+01   8.038223e+03   0.000000e+00    991s
  388405    6.1003313e+01   6.358529e+03   0.000000e+00    997s
  389123    6.1003314e+01   1.121292e+04   0.000000e+00   1001s
  390200    6.1003337e+01   4.192049e+04   0.000000e+00   1005s
  391636    6.1003367e+01   5.376582e+03   0.000000e+00   1012s
  392713    6.1003385e+01   1.690118e+04   0.000000e+00   1016s
  393790    6.1003395e+01   1.916176e+04   0.000000e+00   1021s
  394867    6.1003406e+01   5.136675e+03   0.000000e+00   1027s
  395585    6.1003414e+01   7.128856e+03   0.000000e+00   1031s
  396662    6.1003424e+01   1.263582e+04   0.000000e+00   1036s
  397380    6.1003429e+01   9.609977e+03   0.000000e+00   1041s
  398457    6.1003445e+01   7.464787e+03   0.000000e+00   1047s
  399175    6.1003454e+01   1.990270e+04   0.000000e+00   1050s
  400252    6.1003464e+01   7.372129e+03   0.000000e+00   1055s
  401329    6.1003470e+01   5.348032e+03   0.000000e+00   1062s
  402047    6.1003475e+01   7.982864e+04   0.000000e+00   1066s
  402765    6.1003478e+01   5.411759e+03   0.000000e+00   1070s
