Optimize a model with 4841 rows, 65559 columns and 199250 nonzeros
Model has 1560 quadratic objective terms
Model has 1600 quadratic constraints
Coefficient statistics:
  Matrix range    [1e+00, 1e+03]
  Objective range [0e+00, 0e+00]
  Bounds range    [1e+00, 4e+01]
  RHS range       [1e+00, 9e+03]
Presolve removed 159 rows and 4524 columns
Presolve time: 0.29s
Presolved: 239346 rows, 178347 columns, 884986 nonzeros
Variable types: 118872 continuous, 59475 integer (59436 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   40490    7.7133341e-04   3.896032e+03   0.000000e+00      5s
   49155    8.7730901e-04   9.535533e+03   0.000000e+00     10s
   56283    9.3145600e-04   1.561146e+04   0.000000e+00     15s
   61299    9.5891666e-04   7.858084e+03   0.000000e+00     20s
   66315    9.7775938e-04   1.121541e+04   0.000000e+00     25s
   70803    9.9666560e-04   1.598400e+04   0.000000e+00     30s
   75291    1.0152807e-03   2.071849e+04   0.000000e+00     35s
   80043    1.0351845e-03   9.366344e+03   0.000000e+00     40s
   84267    1.0521255e-03   2.842645e+04   0.000000e+00     45s
   88491    1.0686750e-03   8.905419e+03   0.000000e+00     50s
   92451    1.0817462e-03   2.182833e+04   0.000000e+00     55s
   96411    1.0953480e-03   1.564212e+04   0.000000e+00     60s
  100371    1.1097792e-03   1.362439e+04   0.000000e+00     65s
  104595    1.1393201e-03   1.411573e+04   0.000000e+00     70s
  108291    1.1512282e-03   1.548810e+04   0.000000e+00     75s
  111987    1.1619447e-03   1.784619e+04   0.000000e+00     80s
  115419    1.1744142e-03   1.230942e+04   0.000000e+00     85s
  119115    1.1886823e-03   1.096646e+04   0.000000e+00     90s
  122547    1.2002533e-03   1.561438e+04   0.000000e+00     95s
  125979    1.2133459e-03   1.407231e+04   0.000000e+00    100s
  129675    1.2271218e-03   7.002431e+03   0.000000e+00    105s
  133107    1.2387925e-03   9.004442e+03   0.000000e+00    110s
  136275    1.2479495e-03   5.906670e+03   0.000000e+00    115s
  139971    1.2626737e-03   1.035248e+04   0.000000e+00    120s
  143667    1.2739032e-03   1.089856e+04   0.000000e+00    125s
  146835    1.2824195e-03   1.033179e+05   0.000000e+00    130s
  150267    1.2918202e-03   2.326990e+04   0.000000e+00    135s
  153699    1.3009531e-03   1.082787e+04   0.000000e+00    140s
  157131    1.3089030e-03   1.769087e+04   0.000000e+00    145s
  160299    1.3164573e-03   1.310929e+04   0.000000e+00    150s
  163731    1.3284138e-03   3.008113e+04   0.000000e+00    155s
  167163    1.4042421e-03   5.494294e+03   0.000000e+00    160s
  169803    1.4318579e-03   9.211863e+03   0.000000e+00    165s
  172443    1.4506788e-03   2.493162e+04   0.000000e+00    170s
  175083    1.4688177e-03   9.972732e+03   0.000000e+00    175s
  177459    1.4810518e-03   8.974922e+03   0.000000e+00    180s
  179835    1.4944084e-03   4.847233e+03   0.000000e+00    185s
  182739    1.5510894e-03   9.485417e+03   0.000000e+00    190s
  185115    1.5683439e-03   5.553111e+04   0.000000e+00    195s
  187491    1.5806963e-03   1.863522e+04   0.000000e+00    200s
  190131    1.6055075e-03   5.831548e+03   0.000000e+00    205s
  192507    1.6184842e-03   1.984055e+04   0.000000e+00    210s
  195147    1.6564044e-03   2.523995e+04   0.000000e+00    215s
  197523    1.6694881e-03   7.244510e+03   0.000000e+00    220s
