Optimize a model with 4841 rows, 65559 columns and 199250 nonzeros
Model has 1560 quadratic objective terms
Model has 1600 quadratic constraints
Coefficient statistics:
  Matrix range    [1e+00, 1e+03]
  Objective range [0e+00, 0e+00]
  Bounds range    [1e+00, 4e+01]
  RHS range       [1e+00, 1e+04]
Presolve removed 159 rows and 4486 columns
Presolve time: 0.33s
Presolved: 239498 rows, 178461 columns, 885555 nonzeros
Variable types: 118948 continuous, 59513 integer (59474 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   39363    7.3894299e-04   6.973945e+03   0.000000e+00      5s
   48882    8.5984577e-04   8.255827e+03   0.000000e+00     10s
   53634    8.9740908e-04   2.280186e+04   0.000000e+00     15s
   58122    9.3147282e-04   2.227905e+04   0.000000e+00     20s
   62346    9.5695196e-04   4.135878e+04   0.000000e+00     25s
   66306    9.7817426e-04   2.879990e+04   0.000000e+00     30s
   71058    1.0056430e-03   1.747417e+04   0.000000e+00     35s
   75546    1.0263692e-03   1.633423e+04   0.000000e+00     40s
   79770    1.0443592e-03   2.050569e+04   0.000000e+00     45s
   84258    1.0757528e-03   1.715537e+04   0.000000e+00     50s
   88482    1.0991229e-03   6.379769e+03   0.000000e+00     55s
   92178    1.1160606e-03   1.568562e+04   0.000000e+00     60s
   96138    1.1363710e-03   2.214688e+04   0.000000e+00     65s
   99834    1.1533572e-03   4.175005e+04   0.000000e+00     70s
  104322    1.1893601e-03   1.486148e+04   0.000000e+00     75s
  108546    1.2060662e-03   6.129668e+03   0.000000e+00     80s
  112506    1.2208487e-03   1.736898e+04   0.000000e+00     85s
  116202    1.2366267e-03   1.751115e+04   0.000000e+00     90s
  120162    1.2595284e-03   1.516657e+04   0.000000e+00     95s
  123858    1.2736358e-03   1.315719e+04   0.000000e+00    100s
  127554    1.2854989e-03   2.564478e+04   0.000000e+00    105s
  131250    1.2991382e-03   4.413953e+04   0.000000e+00    110s
  134682    1.3137051e-03   3.174899e+04   0.000000e+00    115s
  138114    1.3277438e-03   2.542944e+04   0.000000e+00    120s
  141810    1.3400953e-03   2.085114e+04   0.000000e+00    125s
  144978    1.3499045e-03   1.524653e+04   0.000000e+00    130s
  148410    1.3613635e-03   7.256688e+03   0.000000e+00    135s
  151842    1.3728843e-03   7.050372e+03   0.000000e+00    140s
  155274    1.3846449e-03   2.762238e+04   0.000000e+00    145s
  158442    1.3944749e-03   4.721212e+03   0.000000e+00    150s
  161610    1.4032028e-03   1.015799e+04   0.000000e+00    155s
  164778    1.4119531e-03   9.962998e+03   0.000000e+00    160s
  167682    1.4199519e-03   1.017481e+04   0.000000e+00    165s
  170586    1.4290012e-03   2.204139e+04   0.000000e+00    170s
  173754    1.4397502e-03   1.444163e+04   0.000000e+00    175s
  176658    1.5147600e-03   1.857722e+04   0.000000e+00    180s
  179298    1.5665568e-03   1.376694e+04   0.000000e+00    185s
  181674    1.5945206e-03   9.121089e+03   0.000000e+00    190s
  183786    1.6166792e-03   5.319923e+04   0.000000e+00    195s
  186426    1.6669769e-03   5.770136e+03   0.000000e+00    200s
  188802    1.6914461e-03   2.097876e+04   0.000000e+00    205s
  191178    1.7134218e-03   1.182658e+04   0.000000e+00    211s
  193554    1.7497401e-03   1.144466e+04   0.000000e+00    215s
  195930    1.7690191e-03   9.243415e+03   0.000000e+00    220s
  198042    1.7829922e-03   1.566776e+04   0.000000e+00    226s
  200418    1.8448215e-03   2.922270e+04   0.000000e+00    230s
  203058    1.9007258e-03   3.338973e+04   0.000000e+00    236s
  205170    1.9133735e-03   2.074487e+04   0.000000e+00    240s
  207546    1.9280589e-03   3.675802e+04   0.000000e+00    246s
  209658    1.9639828e-03   2.082589e+04   0.000000e+00    250s
  212034    1.9913275e-03   1.068078e+04   0.000000e+00    255s
  214146    2.0132603e-03   1.853450e+04   0.000000e+00    261s
  215994    2.0256388e-03   7.489649e+03   0.000000e+00    265s
  218106    2.0620596e-03   6.174040e+03   0.000000e+00    270s
  220218    2.0806477e-03   9.150457e+03   0.000000e+00    275s
  222330    2.1105466e-03   4.569802e+03   0.000000e+00    280s
  224442    2.1211956e-03   1.009998e+04   0.000000e+00    285s
  226290    2.1301889e-03   6.579433e+03   0.000000e+00    290s
  228402    2.1404754e-03   7.978245e+03   0.000000e+00    296s
  230250    2.1470079e-03   7.636491e+03   0.000000e+00    300s
  232098    2.1538404e-03   6.582607e+03   0.000000e+00    305s
  234210    2.1798725e-03   6.975616e+03   0.000000e+00    310s
  236322    2.1998339e-03   4.649879e+04   0.000000e+00    315s
  238434    2.2114663e-03   9.788878e+03   0.000000e+00    320s
  240546    2.2225685e-03   8.421100e+03   0.000000e+00    326s
  242394    2.2315505e-03   5.748947e+03   0.000000e+00    330s
  244242    2.2401244e-03   3.656293e+04   0.000000e+00    335s
  246354    2.2516271e-03   1.718808e+04   0.000000e+00    340s
  248202    2.2602557e-03   1.027764e+04   0.000000e+00    345s
  250050    2.2666064e-03   8.465017e+03   0.000000e+00    350s
  252162    2.2745491e-03   7.055176e+03   0.000000e+00    356s
  254010    2.2809646e-03   9.110979e+03   0.000000e+00    360s
  255858    2.2963373e-03   4.642242e+03   0.000000e+00    365s
  257706    2.3019920e-03   4.688742e+03   0.000000e+00    370s
  259554    2.3106629e-03   1.756067e+04   0.000000e+00    375s
  261666    2.3182480e-03   2.742030e+04   0.000000e+00    381s
  263514    2.3236263e-03   6.531953e+03   0.000000e+00    385s
  265362    2.3373255e-03   5.088754e+03   0.000000e+00    390s
  267210    2.3440397e-03   2.156997e+04   0.000000e+00    395s
  269058    2.3498507e-03   1.885886e+04   0.000000e+00    400s
  270906    2.3562321e-03   1.303478e+04   0.000000e+00    405s
  273018    2.3624634e-03   5.104944e+03   0.000000e+00    411s
  274866    2.3696923e-03   3.870158e+03   0.000000e+00    416s
  276450    2.3747749e-03   5.136043e+03   0.000000e+00    420s
  278562    2.3874371e-03   8.020347e+03   0.000000e+00    425s
  280410    2.3952637e-03   2.073980e+04   0.000000e+00    430s
  282258    2.4014870e-03   8.214935e+03   0.000000e+00    435s
  284370    2.4085278e-03   4.584085e+03   0.000000e+00    441s
  285954    2.4128254e-03   2.772371e+03   0.000000e+00    445s
  288066    2.4194778e-03   8.557349e+03   0.000000e+00    451s
  289914    2.4252388e-03   7.502169e+03   0.000000e+00    456s
  291762    2.4306545e-03   7.045899e+03   0.000000e+00    460s
  293610    2.4358089e-03   1.118940e+04   0.000000e+00    466s
  295458    2.4409387e-03   5.300496e+03   0.000000e+00    471s
  297306    2.4456557e-03   3.994143e+03   0.000000e+00    476s
  299154    2.4515438e-03   5.541722e+03   0.000000e+00    481s
  301002    2.4567877e-03   3.521064e+03   0.000000e+00    486s
  302850    2.4621713e-03   6.157966e+03   0.000000e+00    491s
  304698    2.4672705e-03   4.926293e+03   0.000000e+00    496s
  306546    2.4732718e-03   8.454630e+03   0.000000e+00    501s
  308394    2.4789622e-03   1.119132e+04   0.000000e+00    505s
  310242    2.4845975e-03   4.090047e+04   0.000000e+00    510s
  312090    2.4898173e-03   4.354827e+03   0.000000e+00    516s
  313938    2.4959560e-03   7.604174e+03   0.000000e+00    521s
  315786    2.5017082e-03   2.043767e+04   0.000000e+00    525s
  317634    2.5069453e-03   5.808402e+03   0.000000e+00    531s
  319482    2.5118672e-03   5.653504e+03   0.000000e+00    535s
  321330    2.5168559e-03   3.477170e+03   0.000000e+00    541s
  322914    2.5209438e-03   3.230535e+03   0.000000e+00    545s
  324762    2.5288172e-03   3.201349e+03   0.000000e+00    550s
  326610    2.5339173e-03   7.417899e+03   0.000000e+00    555s
  328458    2.5388108e-03   4.386004e+03   0.000000e+00    560s
  330306    2.6030352e-03   4.906228e+03   0.000000e+00    565s
  332154    2.6258552e-03   4.335716e+03   0.000000e+00    570s
  333738    2.6434930e-03   3.490115e+03   0.000000e+00    575s
  335586    2.6617695e-03   8.769792e+03   0.000000e+00    581s
  337170    2.6709390e-03   1.837130e+03   0.000000e+00    585s
  338754    2.6825495e-03   3.645077e+03   0.000000e+00    590s
  340602    2.6945850e-03   4.223816e+03   0.000000e+00    595s
  342186    2.7032283e-03   1.996165e+03   0.000000e+00    600s
  343770    2.7118438e-03   8.158409e+03   0.000000e+00    605s
  345354    2.7185695e-03   2.174042e+03   0.000000e+00    610s
  347202    2.7262422e-03   6.622695e+03   0.000000e+00    616s
  348786    2.7342990e-03   2.103610e+03   0.000000e+00    621s
  350370    2.7421938e-03   3.554238e+03   0.000000e+00    625s
  351954    2.7620167e-03   1.058067e+04   0.000000e+00    630s
  353802    2.7788321e-03   1.170354e+04   0.000000e+00    636s
  355386    2.7929464e-03   1.745958e+04   0.000000e+00    641s
  356970    2.8035284e-03   1.255715e+04   0.000000e+00    646s
  358554    2.8153497e-03   6.416113e+03   0.000000e+00    651s
  359874    2.8242049e-03   1.729445e+03   0.000000e+00    655s
  361458    2.8347174e-03   2.220169e+03   0.000000e+00    660s
  363042    2.8451670e-03   1.036886e+04   0.000000e+00    666s
  364362    2.8526603e-03   6.827888e+03   0.000000e+00    670s
  365946    2.8607504e-03   6.373503e+04   0.000000e+00    675s
  367266    2.8671836e-03   2.687515e+03   0.000000e+00    680s
  368850    2.8738516e-03   5.385010e+03   0.000000e+00    685s
  370434    2.8803758e-03   2.664810e+03   0.000000e+00    691s
  371754    2.8849771e-03   4.821160e+03   0.000000e+00    695s
  373074    2.8886306e-03   1.235177e+03   0.000000e+00    700s
  374658    2.8930944e-03   8.509279e+02   0.000000e+00    706s
  375978    2.8968840e-03   9.449690e+02   0.000000e+00    710s
  377562    2.9004438e-03   4.561253e+02   0.000000e+00    715s
  379146    2.9030034e-03   3.045999e+03   0.000000e+00    721s
  380466    2.9051099e-03   6.372193e+02   0.000000e+00    725s
  382050    2.9072738e-03   6.071457e+02   0.000000e+00    730s
  383634    2.9088676e-03   9.518584e+02   0.000000e+00    736s
  384954    2.9097980e-03   4.544244e+02   0.000000e+00    740s
  386538    2.9106254e-03   1.294930e+02   0.000000e+00    745s
  388122    2.9110443e-03   3.362317e+01   0.000000e+00    751s
  389621    2.9111462e-03   0.000000e+00   0.000000e+00    755s

Root relaxation: objective 0.000000e+00, 389621 iterations, 754.12 seconds
Total elapsed time = 809.97s
Total elapsed time = 921.95s
Total elapsed time = 1017.20s

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0  281          -    0.00000      -     - 1060s
     0     0    0.00000    0  630          -    0.00000      -     - 1712s
