,cost,time
#1,649.917,75.36
#2,665.583,74.6
#3,636.917,74.4
#4,650.5,74.39
#5,659.0,76.3
#6,689.833,75.79
#7,650.667,73.44
#8,654.0,74.71
#9,689.667,75.07
#10,572.667,74.98
#11,584.667,74.4
#12,657.25,74.72
#13,686.667,75.8
#14,627.333,73.48
#15,629.833,76.49
#16,654.75,75.51
#17,625.667,76.88
#18,665.25,75.42
#19,694.917,75.04
#20,654.917,75.49
#21,668.25,74.56
#22,646.083,76.59
#23,666.667,74.33
#24,603.083,75.26
#25,635.417,75.83
#26,676.833,76.65
#27,681.917,74.75
#28,661.917,73.21
#29,637.5,74.67
#30,694.833,74.59
median,654.8335,75.01
avg,652.416733333,75.0903333333
