,cost,time
#1,702.5,95.38
#2,748.25,94.67
#3,677.167,93.94
#4,692.5,93.85
#5,658.917,91.12
#6,658.917,83.69
#7,664.5,96.47
#8,670.667,94.86
#9,693.833,93.43
#10,706.25,94.24
#11,708.917,93.74
#12,692.25,93.38
#13,688.25,94.55
#14,624.833,92.42
#15,715.583,95.78
#16,614.417,94.25
#17,680.917,94.89
#18,672.917,94.13
#19,668.0,84.22
#20,663.583,82.04
#21,668.083,81.93
#22,711.5,80.89
#23,728.0,81.35
#24,697.083,81.12
#25,665.5,80.1
#26,637.583,81.2
#27,664.333,79.75
#28,706.25,82.5
#29,738.833,82.1
#30,656.5,81.73
median,679.042,92.9
avg,682.5611,88.7906666667
