,cost,time
#1,272.167,1.9
#2,272.167,2.0
#3,272.167,1.9
#4,300.917,2.03
#5,272.167,2.03
#6,272.167,1.99
#7,300.917,1.95
#8,269.917,1.92
#9,300.917,1.93
#10,308.25,1.91
#11,272.167,1.9
#12,272.167,1.95
#13,305.25,1.95
#14,272.167,2.0
#15,272.167,2.0
#16,300.917,2.0
#17,272.167,1.93
#18,272.167,1.96
#19,302.167,1.93
#20,316.75,1.88
#21,300.917,2.01
#22,305.25,1.83
#23,300.917,1.96
#24,272.167,1.95
#25,300.917,1.95
#26,272.167,2.1
#27,272.167,1.9
#28,300.917,1.99
#29,300.917,1.86
#30,272.167,2.1
median,272.167,1.95
avg,286.6114,1.957
