,cost,time
#1,329.417,7.38
#2,314.533,7.48
#3,333.45,7.25
#4,335.667,7.22
#5,386.667,7.05
#6,352.45,7.4
#7,346.733,7.14
#8,371.95,7.11
#9,327.033,7.34
#10,292.0,7.04
#11,315.867,7.49
#12,399.667,7.04
#13,346.083,7.29
#14,373.483,7.03
#15,364.05,7.05
#16,327.617,7.54
#17,372.9,7.1
#18,332.417,6.81
#19,347.917,6.91
#20,373.433,7.1
#21,382.15,6.85
#22,375.083,7.33
#23,370.017,6.88
#24,367.45,7.2
#25,315.6,7.14
#26,292.0,6.73
#27,343.533,6.89
#28,359.817,7.04
#29,351.833,7.24
#30,305.75,7.0
median,347.325,7.105
avg,346.885566667,7.13566666667
