,cost,time
#1,506.133,74.76
#2,514.733,74.21
#3,559.867,74.55
#4,478.233,74.74
#5,514.85,74.09
#6,496.817,74.69
#7,515.0,73.44
#8,511.017,74.32
#9,511.317,74.29
#10,490.05,74.27
#11,542.283,73.29
#12,522.783,73.65
#13,504.817,75.0
#14,466.583,74.91
#15,549.133,74.14
#16,514.033,74.87
#17,512.167,73.48
#18,525.0,74.56
#19,483.0,74.35
#20,461.5,73.52
#21,507.333,75.38
#22,482.383,75.35
#23,515.267,75.73
#24,488.9,75.04
#25,523.45,75.06
#26,492.317,74.66
#27,519.2,76.43
#28,472.383,72.83
#29,492.633,75.28
#30,502.1,74.62
median,509.175,74.59
avg,505.842733333,74.517
