,cost,time
#1,260.917,7.43
#2,270.5,7.29
#3,286.5,7.11
#4,267.25,6.93
#5,278.333,7.32
#6,305.083,7.2
#7,278.333,7.28
#8,264.417,6.98
#9,295.583,7.3
#10,266.75,7.06
#11,310.417,7.62
#12,260.667,7.21
#13,355.583,7.09
#14,299.0,7.01
#15,243.167,7.2
#16,284.0,7.43
#17,289.917,7.3
#18,270.333,7.02
#19,269.167,7.19
#20,285.75,7.1
#21,291.583,7.2
#22,349.583,7.42
#23,278.0,7.3
#24,251.75,7.31
#25,273.0,7.43
#26,267.417,7.22
#27,305.083,7.05
#28,274.917,7.13
#29,276.75,7.07
#30,293.667,7.33
median,278.1665,7.205
avg,283.447233333,7.21766666667
