,cost,time
#1,510.383,16.55
#2,531.167,16.86
#3,535.317,16.71
#4,541.583,16.7
#5,558.967,16.68
#6,557.683,16.64
#7,532.45,16.68
#8,555.967,17.08
#9,545.35,16.86
#10,537.567,16.78
#11,515.233,16.87
#12,524.3,16.72
#13,555.733,16.68
#14,525.7,16.74
#15,526.633,17.03
#16,555.883,16.6
#17,551.4,16.7
#18,546.383,17.3
#19,573.8,16.44
#20,513.883,16.87
#21,528.05,16.61
#22,539.067,16.55
#23,539.517,16.7
#24,587.85,16.93
#25,489.583,16.68
#26,538.933,16.47
#27,581.3,16.97
#28,602.433,16.58
#29,575.217,17.06
#30,512.233,16.47
median,539.292,16.7
avg,542.9855,16.7503333333
