,cost,time
#1,735.783,166.2
#2,657.767,161.72
#3,621.8,158.79
#4,611.583,163.28
#5,718.2,160.78
#6,650.75,151.38
#7,667.167,145.95
#8,722.2,149.4
#9,642.367,149.08
#10,675.65,151.66
#11,649.883,149.6
#12,720.667,150.04
#13,647.033,150.23
#14,651.783,149.61
#15,579.95,146.98
#16,594.933,149.93
#17,691.2,150.09
#18,653.6,151.76
#19,580.433,151.52
#20,733.817,152.94
#21,616.417,150.79
#22,630.933,150.31
#23,693.9,151.6
#24,643.833,150.78
#25,697.7,153.98
#26,629.8,149.76
#27,669.933,149.57
#28,710.083,150.36
#29,706.917,148.81
#30,591.617,152.18
median,652.6915,150.57
avg,659.9233,152.302666667
