,cost,time
#1,505.067,80.93
#2,527.1,80.72
#3,498.583,78.99
#4,580.85,81.88
#5,569.017,78.79
#6,500.217,80.1
#7,506.833,78.9
#8,547.167,78.99
#9,518.55,81.22
#10,558.033,80.48
#11,545.783,79.09
#12,516.217,81.85
#13,512.883,79.83
#14,540.65,79.71
#15,526.6,78.48
#16,532.417,78.77
#17,580.817,78.08
#18,539.833,80.31
#19,520.233,79.96
#20,519.5,80.35
#21,536.633,79.46
#22,556.967,79.49
#23,570.817,74.24
#24,534.783,72.12
#25,526.5,75.95
#26,545.733,73.99
#27,524.85,72.7
#28,534.867,73.44
#29,499.8,72.57
#30,533.4,72.99
median,532.9085,79.04
avg,533.69,78.146
