,cost,time
#1,307.917,2.07
#2,262.167,1.88
#3,281.833,1.92
#4,281.833,1.73
#5,267.167,1.94
#6,329.917,1.91
#7,267.167,1.85
#8,343.5,1.9
#9,329.917,1.84
#10,281.833,1.99
#11,349.0,1.96
#12,281.833,1.86
#13,267.167,1.85
#14,267.167,1.83
#15,262.167,1.78
#16,281.833,1.92
#17,267.167,1.98
#18,329.917,1.83
#19,267.167,1.8
#20,307.917,1.83
#21,307.917,1.85
#22,267.167,1.83
#23,281.833,1.88
#24,501.5,1.9
#25,324.083,1.7
#26,267.167,1.74
#27,267.167,1.91
#28,267.167,1.75
#29,267.167,1.88
#30,281.833,1.83
median,281.833,1.855
avg,295.586233333,1.86466666667
