,cost,time
#1,515.083,7.38
#2,536.117,7.4
#3,524.133,7.36
#4,536.4,7.42
#5,554.583,7.23
#6,524.767,7.53
#7,536.267,6.99
#8,509.5,7.49
#9,531.767,7.57
#10,503.683,7.26
#11,535.533,7.53
#12,470.1,7.21
#13,518.117,7.06
#14,508.333,7.47
#15,550.5,7.6
#16,496.9,7.42
#17,525.6,7.04
#18,511.667,7.23
#19,534.967,7.51
#20,555.3,7.27
#21,553.167,7.13
#22,545.683,7.25
#23,566.9,7.25
#24,573.0,7.44
#25,530.433,6.73
#26,502.817,7.52
#27,557.933,7.18
#28,527.783,7.24
#29,562.083,7.07
#30,557.933,7.54
median,533.367,7.315
avg,531.901633333,7.31066666667
