,cost,time
#1,469.117,64.09
#2,533.667,64.62
#3,446.833,65.06
#4,482.433,65.28
#5,547.383,64.77
#6,658.7,62.03
#7,556.217,59.79
#8,591.233,59.41
#9,534.1,58.86
#10,475.567,58.39
#11,549.267,59.1
#12,544.0,59.67
#13,446.317,59.62
#14,564.633,58.75
#15,592.967,59.24
#16,667.667,59.94
#17,580.15,61.52
#18,561.517,59.04
#19,715.717,60.02
#20,553.35,58.64
#21,503.95,59.85
#22,600.917,59.43
#23,672.4,61.67
#24,481.767,59.31
#25,515.333,60.52
#26,539.3,59.33
#27,645.417,59.45
#28,585.067,58.79
#29,571.383,59.52
#30,602.983,59.51
median,554.7835,59.57
avg,559.645066667,60.5073333333
