,cost,time
#1,437.25,17.12
#2,431.917,17.08
#3,413.833,17.05
#4,415.833,17.17
#5,412.417,16.6
#6,379.5,16.87
#7,469.083,16.93
#8,447.833,17.04
#9,439.75,17.34
#10,420.5,16.97
#11,429.417,17.25
#12,406.167,17.12
#13,412.583,16.97
#14,466.0,17.06
#15,445.25,17.36
#16,378.167,16.99
#17,388.5,17.34
#18,438.75,17.0
#19,446.333,16.93
#20,426.083,17.22
#21,380.083,16.91
#22,434.083,17.17
#23,432.083,16.88
#24,385.75,17.05
#25,421.417,17.09
#26,433.667,17.02
#27,397.333,17.02
#28,433.0,16.91
#29,340.417,16.9
#30,445.5,16.74
median,427.75,17.03
avg,420.2833,17.0366666667
