,cost,time
#1,443.167,7.21
#2,478.25,7.14
#3,429.0,7.06
#4,496.0,7.11
#5,451.833,7.61
#6,452.667,7.37
#7,528.167,7.18
#8,465.583,7.27
#9,495.667,7.49
#10,478.917,7.35
#11,470.75,7.18
#12,453.0,7.29
#13,449.917,6.99
#14,431.5,7.42
#15,439.0,6.93
#16,397.417,7.65
#17,489.0,7.52
#18,451.667,7.22
#19,477.0,7.44
#20,453.75,7.28
#21,455.833,7.52
#22,414.083,7.5
#23,447.583,7.38
#24,485.25,7.53
#25,457.083,7.26
#26,425.25,7.3
#27,494.333,7.22
#28,486.75,7.12
#29,473.0,7.42
#30,402.75,7.04
median,454.7915,7.285
avg,459.1389,7.3
