,cost,time
#1,418.917,17.15
#2,395.417,17.08
#3,422.833,17.25
#4,414.0,17.4
#5,446.417,16.95
#6,453.0,16.96
#7,411.0,16.73
#8,460.5,17.21
#9,430.25,17.36
#10,409.583,16.88
#11,417.417,16.99
#12,441.917,17.29
#13,411.25,17.06
#14,425.167,17.23
#15,459.417,17.27
#16,451.25,17.03
#17,418.417,17.4
#18,430.083,16.71
#19,427.5,16.92
#20,397.583,16.63
#21,464.0,17.02
#22,458.667,17.27
#23,434.25,16.71
#24,419.167,17.05
#25,416.417,17.28
#26,437.167,17.17
#27,440.75,17.35
#28,442.417,17.71
#29,435.917,17.29
#30,416.25,17.0
median,428.7915,17.115
avg,430.230666667,17.1116666667
