,best cost,Nsol,worst cost,avg cost,median cost,avg time
TIC04-30-30-3,379.5,1.0,447.417,412.8667,413.917,20.203
TIC08-30-30-3,474.25,1.0,597.417,546.311066667,545.25,20.72
TIC16-30-30-4,407.833,1.0,477.567,444.737233333,446.8915,20.518
TIC37-30-30-4,489.583,1.0,602.433,542.9855,539.292,16.7503333333
TIC42-30-30-3,414.833,1.0,496.667,462.436066667,462.0,17.9866666667
TIC44-30-30-3,395.417,1.0,464.0,430.230666667,428.7915,17.1116666667
TIC46-30-30-3,340.417,1.0,469.083,420.2833,427.75,17.0366666667
TIC60-30-30-4,438.117,1.0,565.083,506.4944,510.258,16.8983333333
