,best cost,Nsol,worst cost,avg cost,median cost,avg time
TIC01-10-10-3,262.167,2.0,501.5,295.586233333,281.833,1.86466666667
TIC07-10-10-3,296.167,29.0,342.833,297.722533333,296.167,1.89433333333
TIC10-10-10-3,519.5,13.0,594.667,541.9361,540.833,1.867
TIC17-10-10-4,237.75,19.0,265.5,247.925,237.75,1.99133333333
TIC19-10-10-4,293.25,13.0,411.75,322.5296,320.167,1.87266666667
TIC38-10-10-4,368.733,20.0,383.583,370.258,368.733,1.86266666667
TIC50-10-10-3,269.917,1.0,316.75,286.6114,272.167,1.957
TIC52-10-10-4,317.0,10.0,388.75,333.797433333,326.167,1.841
