,best cost,Nsol,worst cost,avg cost,median cost,avg time
TIC04-50-50-3,614.417,1.0,748.25,682.5611,679.042,88.7906666667
TIC11-50-50-4,498.583,1.0,580.85,533.69,532.9085,78.146
TIC40-50-50-4,461.5,1.0,559.867,505.842733333,509.175,74.517
TIC45-50-50-3,572.667,1.0,694.917,652.416733333,654.8335,75.0903333333
TIC47-50-50-3,605.583,1.0,675.5,641.041533333,642.6665,74.1883333333
TIC53-50-50-4,484.45,1.0,585.25,541.745566667,537.1165,72.6346666667
TIC58-50-50-4,452.967,1.0,511.367,486.677766667,487.0665,72.1633333333
TIC59-50-50-4,576.667,1.0,674.933,624.6445,619.35,67.3943333333
