,best cost,Nsol,worst cost,avg cost,median cost,avg time
TIC03-40-40-3,524.333,1.0,649.917,585.041666667,591.2085,48.076
TIC08-40-40-3,515.667,1.0,613.833,563.880566667,564.375,42.759
TIC11-40-40-4,411.667,1.0,503.333,480.598866667,484.475,41.1413333333
TIC40-40-40-4,417.917,1.0,519.45,487.4417,491.342,39.3436666667
TIC44-40-40-3,477.75,1.0,601.083,560.686133333,562.4585,38.301
TIC52-40-40-4,379.0,1.0,478.05,429.956133333,437.7,37.089
TIC54-40-40-4,405.367,1.0,489.367,446.184433333,447.4585,37.1366666667
TIC58-40-40-4,444.383,1.0,575.8,520.692733333,524.7335,36.9086666667
