,best cost,Nsol,worst cost,avg cost,median cost,avg time
TIC10-20-20-3,243.167,1.0,355.583,283.447233333,278.1665,7.21766666667
TIC20-20-20-4,311.583,1.0,410.733,368.003233333,371.333,6.77066666667
TIC47-20-20-3,343.0,1.0,449.333,402.547166667,410.3335,6.78233333333
TIC48-20-20-3,341.083,1.0,472.75,413.738833333,415.667,7.46333333333
TIC49-20-20-3,397.417,1.0,528.167,459.1389,454.7915,7.3
TIC53-20-20-4,346.283,1.0,467.217,421.518866667,428.175,7.19466666667
TIC55-20-20-4,470.1,1.0,573.0,531.901633333,533.367,7.31066666667
TIC56-20-20-4,292.0,2.0,399.667,346.885566667,347.325,7.13566666667
