,cost,time
#1,569.7,71.83
#2,558.5,72.93
#3,516.017,74.33
#4,568.7,72.43
#5,571.467,73.17
#6,576.35,71.76
#7,528.483,74.62
#8,520.7,74.64
#9,525.85,74.07
#10,532.133,72.89
#11,536.033,72.76
#12,516.167,71.46
#13,553.75,72.72
#14,547.0,72.69
#15,585.25,72.54
#16,570.167,73.49
#17,493.933,72.98
#18,528.017,73.86
#19,518.1,72.29
#20,574.733,72.36
#21,536.05,72.23
#22,507.933,73.08
#23,550.65,71.91
#24,538.183,71.29
#25,577.3,71.45
#26,553.45,70.95
#27,484.45,72.62
#28,560.267,71.11
#29,533.667,71.85
#30,519.367,72.73
median,537.1165,72.655
avg,541.745566667,72.6346666667
