,best cost,Nsol,worst cost,avg cost,median cost,avg time
ftv35-4-25,362.033,1.0,828.333,638.9406,653.0335,30.3883333333
ftv38-4-33,340.45,1.0,617.217,503.018833333,508.6165,34.4276666667
ftv44-4-25,472.9,1.0,872.283,692.870066667,680.375,52.6016666667
ftv47-4-33,446.317,1.0,715.717,559.645066667,554.7835,60.5073333333
ftv55-4-25,627.633,1.0,1286.5,980.4578,1001.2935,97.374
ftv64-4-50,579.95,1.0,735.783,659.9233,652.6915,152.302666667
p43-4-25,68.9167,1.0,5470.5,1540.56431,124.458,40.101
ry48p-4-50,2477.58,1.0,2925.92,2752.255,2782.79,58.329
