Optimize a model with 7551 rows, 127449 columns and 386560 nonzeros
Model has 2450 quadratic objective terms
Model has 2500 quadratic constraints
Coefficient statistics:
  Matrix range    [1e+00, 1e+03]
  Objective range [0e+00, 0e+00]
  Bounds range    [1e+00, 5e+01]
  RHS range       [1e+00, 1e+04]
Presolve removed 199 rows and 7202 columns
Presolve time: 0.75s
Presolved: 473494 rows, 353293 columns, 1756027 nonzeros
Variable types: 235496 continuous, 117797 integer (117748 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   47606    7.2830832e-04   3.364496e+03   0.000000e+00      5s
   70629    5.1001092e+01   7.439206e+03   0.000000e+00     10s
   76714    5.1001151e+01   8.698643e+03   0.000000e+00     15s
   81314    5.1001198e+01   6.566480e+03   0.000000e+00     20s
   86340    5.1001227e+01   7.051781e+03   0.000000e+00     25s
   89930    5.1001247e+01   8.035118e+03   0.000000e+00     30s
   93520    5.1001266e+01   9.119726e+03   0.000000e+00     35s
   97828    5.1001286e+01   3.693345e+04   0.000000e+00     40s
  101059    5.1001298e+01   7.005451e+03   0.000000e+00     45s
  103213    5.1001308e+01   1.191678e+04   0.000000e+00     50s
  106444    5.1001322e+01   7.448271e+03   0.000000e+00     55s
  109316    5.1001339e+01   6.661884e+03   0.000000e+00     60s
  111829    5.1001349e+01   1.355937e+04   0.000000e+00     65s
  115060    5.1001363e+01   1.523646e+04   0.000000e+00     70s
  118291    5.1001374e+01   2.661292e+04   0.000000e+00     76s
  121163    5.1001384e+01   2.018828e+04   0.000000e+00     80s
  124035    5.1001395e+01   8.017796e+03   0.000000e+00     86s
  127266    5.1001406e+01   9.279260e+03   0.000000e+00     90s
  129420    5.1001415e+01   1.279655e+04   0.000000e+00     95s
  132292    5.1001427e+01   1.335352e+04   0.000000e+00    100s
  135882    5.1001438e+01   1.400417e+04   0.000000e+00    105s
  138036    5.1001446e+01   1.157675e+04   0.000000e+00    110s
  140549    5.1001454e+01   1.962555e+04   0.000000e+00    115s
  143421    5.1001461e+01   6.598035e+03   0.000000e+00    120s
  145934    5.1001467e+01   8.901786e+03   0.000000e+00    125s
  147729    5.1001473e+01   2.393004e+04   0.000000e+00    130s
  149883    5.1001478e+01   6.306742e+04   0.000000e+00    135s
  152755    5.1001485e+01   3.230924e+04   0.000000e+00    140s
  155268    5.1001493e+01   2.780377e+04   0.000000e+00    146s
  157781    5.1001501e+01   7.480821e+03   0.000000e+00    150s
  160653    5.1001509e+01   8.903936e+03   0.000000e+00    155s
  162807    5.1001516e+01   7.170505e+03   0.000000e+00    160s
  166038    5.1001525e+01   6.099033e+03   0.000000e+00    166s
  168910    5.1001532e+01   4.963795e+04   0.000000e+00    170s
  171782    5.1001541e+01   6.506934e+04   0.000000e+00    175s
  174654    5.1001548e+01   3.011038e+04   0.000000e+00    181s
  176808    5.1001553e+01   1.954178e+04   0.000000e+00    185s
  179680    5.1001561e+01   5.597651e+03   0.000000e+00    190s
  181475    5.1001564e+01   5.465199e+03   0.000000e+00    195s
  183629    5.1001587e+01   4.828816e+04   0.000000e+00    200s
  186501    5.1001648e+01   1.363086e+04   0.000000e+00    205s
  189732    5.1001749e+01   5.589780e+03   0.000000e+00    210s
  191527    5.1001771e+01   1.850419e+04   0.000000e+00    216s
  192963    5.1001780e+01   4.246060e+04   0.000000e+00    222s
  194040    5.1001787e+01   1.724481e+04   0.000000e+00    226s
  195476    5.1001794e+01   4.325435e+04   0.000000e+00    232s
  196553    5.1001803e+01   4.099512e+04   0.000000e+00    236s
  197630    5.1001811e+01   6.291739e+04   0.000000e+00    240s
  199066    5.1001819e+01   1.084926e+05   0.000000e+00    246s
  200143    5.1001828e+01   5.729327e+04   0.000000e+00    250s
  201579    5.1001835e+01   1.837967e+04   0.000000e+00    256s
  202656    5.1001841e+01   1.855607e+05   0.000000e+00    261s
  204092    5.1001851e+01   5.260188e+04   0.000000e+00    266s
  205528    5.1001863e+01   3.181876e+04   0.000000e+00    271s
  206605    5.1001883e+01   3.581518e+04   0.000000e+00    275s
  208400    5.1001918e+01   1.136411e+05   0.000000e+00    280s
  211272    5.1001999e+01   8.320344e+04   0.000000e+00    286s
  212349    5.1002005e+01   2.409612e+04   0.000000e+00    291s
  213785    5.1002022e+01   1.021112e+04   0.000000e+00    295s
  215939    5.1002076e+01   2.997019e+04   0.000000e+00    300s
  217375    5.1002090e+01   2.848595e+04   0.000000e+00    305s
  218811    5.1002098e+01   5.436456e+04   0.000000e+00    310s
  220606    5.1002127e+01   1.855223e+04   0.000000e+00    315s
  222760    5.1002161e+01   4.320742e+04   0.000000e+00    320s
  224555    5.1002172e+01   2.316442e+04   0.000000e+00    326s
  225991    5.1002184e+01   8.608534e+04   0.000000e+00    332s
  227427    5.1002198e+01   3.570794e+05   0.000000e+00    336s
  228863    5.1002204e+01   2.236559e+04   0.000000e+00    341s
  230658    5.1002220e+01   1.244520e+04   0.000000e+00    346s
  232453    5.1002246e+01   2.332096e+04   0.000000e+00    351s
  234248    5.1002263e+01   7.562371e+04   0.000000e+00    356s
  235325    5.1002272e+01   3.655947e+04   0.000000e+00    360s
  237120    5.1002284e+01   4.851998e+04   0.000000e+00    366s
  238915    5.1002303e+01   1.872022e+04   0.000000e+00    371s
  240710    5.1002327e+01   4.911182e+04   0.000000e+00    376s
  242505    5.1002352e+01   6.931772e+04   0.000000e+00    380s
  244659    5.1002370e+01   2.495310e+04   0.000000e+00    386s
  246454    5.1002405e+01   2.309685e+04   0.000000e+00    391s
  247531    5.1002410e+01   2.799422e+04   0.000000e+00    396s
  248967    5.1002423e+01   2.264828e+05   0.000000e+00    400s
  253275    5.1002506e+01   6.497018e+04   0.000000e+00    405s
  255429    5.1002528e+01   3.321375e+04   0.000000e+00    410s
  257224    5.1002537e+01   1.713691e+05   0.000000e+00    416s
  258301    5.1002542e+01   2.033986e+05   0.000000e+00    421s
  260455    5.1002576e+01   3.985360e+05   0.000000e+00    426s
  261891    5.1002585e+01   3.856073e+04   0.000000e+00    431s
  263327    5.1002597e+01   4.308060e+04   0.000000e+00    435s
  265122    5.1002609e+01   5.389641e+03   0.000000e+00    441s
  266917    5.1002616e+01   3.891615e+04   0.000000e+00    447s
  267994    5.1002627e+01   1.023013e+04   0.000000e+00    451s
  269071    5.1002632e+01   2.160043e+04   0.000000e+00    455s
  270148    5.1002639e+01   4.879307e+04   0.000000e+00    460s
  271584    5.1002645e+01   2.516955e+04   0.000000e+00    467s
  273379    5.1002677e+01   1.437234e+04   0.000000e+00    470s
  275174    5.1002687e+01   1.360420e+04   0.000000e+00    477s
  276251    5.1002694e+01   4.607986e+04   0.000000e+00    481s
  277687    5.1002706e+01   1.488522e+05   0.000000e+00    486s
  278764    5.1002714e+01   1.023859e+05   0.000000e+00    490s
  281636    5.1002752e+01   1.317285e+04   0.000000e+00    495s
  283431    5.1002772e+01   3.721985e+04   0.000000e+00    500s
  284867    5.1002778e+01   1.991700e+04   0.000000e+00    506s
  285944    5.1002782e+01   3.368436e+04   0.000000e+00    510s
  287380    5.1002793e+01   6.047291e+04   0.000000e+00    516s
  288457    5.1002799e+01   6.356151e+04   0.000000e+00    520s
  289893    5.1002806e+01   2.638330e+05   0.000000e+00    526s
  290970    5.1002810e+01   2.135925e+05   0.000000e+00    530s
  292406    5.1002816e+01   3.508144e+05   0.000000e+00    536s
  293842    5.1002821e+01   6.284034e+04   0.000000e+00    542s
  294560    5.1002823e+01   2.944107e+04   0.000000e+00    545s
  295996    5.1002828e+01   6.880350e+04   0.000000e+00    552s
  297073    5.1002837e+01   2.431721e+04   0.000000e+00    556s
  298509    5.1002843e+01   2.329508e+05   0.000000e+00    561s
  299586    5.1002847e+01   1.051929e+05   0.000000e+00    565s
  301022    5.1002886e+01   2.560990e+04   0.000000e+00    570s
  302458    5.1002901e+01   1.446322e+04   0.000000e+00    576s
  303894    5.1002909e+01   1.926644e+04   0.000000e+00    581s
  304971    5.1002914e+01   7.608049e+04   0.000000e+00    585s
  306766    5.1002929e+01   2.428753e+05   0.000000e+00    591s
  308920    5.1002967e+01   6.275449e+05   0.000000e+00    596s
  310715    5.1002975e+01   5.618418e+04   0.000000e+00    601s
  311792    5.1002978e+01   1.359262e+05   0.000000e+00    607s
  312869    5.1002983e+01   6.564329e+04   0.000000e+00    611s
  313946    5.1002987e+01   5.230503e+04   0.000000e+00    616s
  315382    5.1002995e+01   2.115723e+04   0.000000e+00    621s
  316459    5.1003000e+01   5.046376e+04   0.000000e+00    625s
  317895    5.1003012e+01   1.140484e+05   0.000000e+00    631s
  318972    5.1003016e+01   7.532796e+04   0.000000e+00    635s
  320408    5.1003024e+01   6.083236e+04   0.000000e+00    641s
  321485    5.1003029e+01   1.845005e+04   0.000000e+00    646s
  322921    5.1003036e+01   2.789935e+04   0.000000e+00    651s
  323998    5.1003047e+01   2.662551e+04   0.000000e+00    655s
  326152    5.1003094e+01   3.378447e+04   0.000000e+00    662s
  327947    5.1003122e+01   1.559357e+05   0.000000e+00    665s
  329383    5.1003128e+01   1.262238e+05   0.000000e+00    671s
  330460    5.1003132e+01   1.954020e+04   0.000000e+00    675s
  332255    5.1003147e+01   2.613008e+04   0.000000e+00    680s
  333691    5.1003151e+01   2.002580e+04   0.000000e+00    686s
  334768    5.1003155e+01   6.172016e+04   0.000000e+00    691s
  336922    5.1003186e+01   1.201428e+04   0.000000e+00    696s
  338717    5.1003199e+01   7.662602e+04   0.000000e+00    701s
  340153    5.1003213e+01   8.447881e+03   0.000000e+00    705s
  341948    5.1003219e+01   6.793371e+04   0.000000e+00    712s
  343025    5.1003223e+01   3.771153e+04   0.000000e+00    715s
  344102    5.1003226e+01   7.871856e+04   0.000000e+00    720s
  345897    5.1003233e+01   2.238762e+04   0.000000e+00    726s
  346974    5.1003236e+01   9.035238e+04   0.000000e+00    731s
  348410    5.1003242e+01   1.107586e+04   0.000000e+00    735s
  349846    5.1003250e+01   1.367689e+04   0.000000e+00    741s
  350923    5.1003252e+01   3.624260e+04   0.000000e+00    747s
  351641    5.1003253e+01   1.067953e+04   0.000000e+00    750s
  352718    5.1003256e+01   2.228768e+04   0.000000e+00    755s
  353795    5.1003260e+01   1.053592e+05   0.000000e+00    760s
  355949    5.1003278e+01   1.029010e+04   0.000000e+00    766s
  357026    5.1003285e+01   7.570828e+03   0.000000e+00    770s
  358462    5.1003292e+01   7.675655e+04   0.000000e+00    775s
  359539    5.1003295e+01   4.249160e+04   0.000000e+00    780s
  360616    5.1003297e+01   6.061362e+03   0.000000e+00    785s
  361693    5.1003300e+01   1.172581e+04   0.000000e+00    790s
  362770    5.1003304e+01   5.748934e+03   0.000000e+00    795s
  363847    5.1003307e+01   1.423241e+04   0.000000e+00    800s
  365283    5.1003316e+01   5.975580e+03   0.000000e+00    806s
  366360    5.1003320e+01   1.094371e+04   0.000000e+00    811s
  367437    5.1003322e+01   1.441156e+04   0.000000e+00    816s
  368514    5.1003329e+01   1.287430e+04   0.000000e+00    821s
  370309    5.1003354e+01   7.559445e+03   0.000000e+00    826s
  371745    5.1003359e+01   7.891341e+04   0.000000e+00    831s
  372463    5.1003361e+01   1.653391e+04   0.000000e+00    835s
  373540    5.1003364e+01   2.117638e+04   0.000000e+00    841s
  374617    5.1003367e+01   2.359266e+04   0.000000e+00    846s
  375694    5.1003370e+01   2.089220e+04   0.000000e+00    851s
  376771    5.1003373e+01   7.994002e+04   0.000000e+00    856s
  377848    5.1003376e+01   3.453977e+04   0.000000e+00    861s
  379284    5.1003387e+01   8.489610e+03   0.000000e+00    865s
  380720    5.1003394e+01   5.727578e+03   0.000000e+00    871s
  381797    5.1003399e+01   1.211611e+04   0.000000e+00    877s
  382874    5.1003404e+01   2.415246e+04   0.000000e+00    881s
  383951    5.1003406e+01   1.616661e+04   0.000000e+00    886s
  384669    5.1003408e+01   2.652240e+04   0.000000e+00    890s
  385746    5.1003411e+01   7.827350e+04   0.000000e+00    895s
  386823    5.1003413e+01   9.420504e+03   0.000000e+00    901s
  387541    5.1003414e+01   5.170421e+03   0.000000e+00    905s
  388977    5.1003418e+01   1.154939e+04   0.000000e+00    911s
  390054    5.1003426e+01   1.894766e+04   0.000000e+00    915s
  391131    5.1003429e+01   6.397895e+03   0.000000e+00    921s
  392208    5.1003431e+01   1.353579e+04   0.000000e+00    927s
  392926    5.1003432e+01   4.786888e+04   0.000000e+00    930s
  394003    5.1003465e+01   4.057391e+03   0.000000e+00    935s
  395080    5.1003483e+01   1.837593e+04   0.000000e+00    940s
  396516    5.1003512e+01   1.914931e+04   0.000000e+00    946s
  397952    5.1003540e+01   3.461230e+04   0.000000e+00    951s
  399029    5.1003558e+01   5.867897e+04   0.000000e+00    955s
  400465    5.1003583e+01   5.022417e+04   0.000000e+00    961s
  401901    5.1003606e+01   3.546052e+04   0.000000e+00    966s
