Optimize a model with 4841 rows, 65559 columns and 199250 nonzeros
Model has 1560 quadratic objective terms
Model has 1600 quadratic constraints
Coefficient statistics:
  Matrix range    [1e+00, 1e+03]
  Objective range [0e+00, 0e+00]
  Bounds range    [1e+00, 4e+01]
  RHS range       [1e+00, 1e+04]
Presolve removed 159 rows and 4562 columns
Presolve time: 0.29s
Presolved: 239194 rows, 178233 columns, 884417 nonzeros
Variable types: 118796 continuous, 59437 integer (59398 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   41902    7.8204165e-04   4.357970e+03   0.000000e+00      5s
   48247    5.4000859e+01   1.072042e+04   0.000000e+00     10s
   53263    5.4000896e+01   1.470890e+04   0.000000e+00     15s
   57223    5.4000917e+01   7.203833e+03   0.000000e+00     20s
   61711    5.4000942e+01   1.148187e+04   0.000000e+00     25s
   66463    5.4000963e+01   4.563750e+03   0.000000e+00     30s
   70951    5.4000981e+01   2.386960e+04   0.000000e+00     35s
   75439    5.4000998e+01   2.885882e+04   0.000000e+00     40s
   80191    5.4001014e+01   9.863599e+03   0.000000e+00     45s
   83887    5.4001025e+01   8.155031e+03   0.000000e+00     50s
   87583    5.4001038e+01   3.234367e+03   0.000000e+00     55s
   91015    5.4001049e+01   7.763310e+03   0.000000e+00     60s
   94183    5.4001057e+01   3.471803e+03   0.000000e+00     65s
   97351    5.4001069e+01   2.831315e+03   0.000000e+00     70s
  100519    5.4001080e+01   9.056881e+03   0.000000e+00     75s
  103423    5.4001087e+01   9.906395e+03   0.000000e+00     80s
  106063    5.4001092e+01   3.562265e+04   0.000000e+00     85s
  109495    5.4001102e+01   7.289572e+03   0.000000e+00     90s
  112399    5.4001116e+01   2.662182e+03   0.000000e+00     95s
  115039    5.4001145e+01   1.193001e+04   0.000000e+00    100s
  117679    5.4001170e+01   1.120879e+04   0.000000e+00    105s
  120319    5.4001210e+01   3.747692e+04   0.000000e+00    110s
  123223    5.4001261e+01   1.767712e+04   0.000000e+00    115s
  125863    5.4001279e+01   1.918078e+04   0.000000e+00    121s
  128503    5.4001316e+01   4.193173e+03   0.000000e+00    126s
  131935    5.4001375e+01   5.220979e+03   0.000000e+00    131s
  134311    5.4001410e+01   8.745331e+03   0.000000e+00    135s
  137215    5.4001427e+01   1.812958e+04   0.000000e+00    140s
  139855    5.4001459e+01   5.690342e+03   0.000000e+00    145s
  142231    5.4001472e+01   7.529188e+03   0.000000e+00    151s
  144607    5.4001505e+01   8.636898e+03   0.000000e+00    155s
  146983    5.4001518e+01   6.284376e+03   0.000000e+00    160s
  149887    5.4001537e+01   2.920065e+04   0.000000e+00    165s
  151999    5.4001546e+01   9.176907e+03   0.000000e+00    170s
  154903    5.4001575e+01   6.161853e+03   0.000000e+00    175s
  157015    5.4001586e+01   5.229103e+03   0.000000e+00    180s
  159391    5.4001608e+01   3.471271e+03   0.000000e+00    185s
  161503    5.4001622e+01   1.308415e+04   0.000000e+00    191s
  163351    5.4001630e+01   9.994812e+03   0.000000e+00    196s
  165199    5.4001638e+01   6.239453e+03   0.000000e+00    201s
  167311    5.4001653e+01   2.331078e+03   0.000000e+00    205s
  169159    5.4001664e+01   6.048633e+03   0.000000e+00    210s
  171799    5.4001684e+01   4.150288e+03   0.000000e+00    215s
  173647    5.4001691e+01   1.868212e+04   0.000000e+00    220s
  175495    5.4001696e+01   1.433064e+04   0.000000e+00    225s
  177343    5.4001706e+01   1.200401e+04   0.000000e+00    230s
  179455    5.4001714e+01   2.051758e+04   0.000000e+00    235s
  181039    5.4001722e+01   2.289226e+04   0.000000e+00    240s
  183679    5.4001734e+01   2.536161e+04   0.000000e+00    246s
  185791    5.4001740e+01   5.524791e+03   0.000000e+00    251s
  187903    5.4001750e+01   1.067304e+04   0.000000e+00    256s
  190015    5.4001757e+01   3.119204e+04   0.000000e+00    261s
  191863    5.4001763e+01   1.236806e+04   0.000000e+00    266s
  193711    5.4001768e+01   3.129797e+03   0.000000e+00    270s
  195559    5.4001772e+01   1.681204e+04   0.000000e+00    275s
  197407    5.4001777e+01   1.169143e+04   0.000000e+00    280s
  198991    5.4001781e+01   2.785353e+03   0.000000e+00    285s
  200575    5.4001784e+01   1.059109e+04   0.000000e+00    290s
