,cost,time
#1,680.583,53.21
#2,758.667,53.56
#3,579.067,53.52
#4,658.617,53.45
#5,623.85,52.73
#6,680.133,52.01
#7,715.067,52.85
#8,829.683,52.18
#9,666.65,53.34
#10,663.517,52.62
#11,832.0,52.75
#12,680.167,53.55
#13,694.083,51.51
#14,735.667,52.08
#15,761.35,52.06
#16,472.9,51.99
#17,608.067,52.49
#18,790.267,52.37
#19,803.467,52.84
#20,714.5,52.22
#21,809.1,53.71
#22,613.25,52.76
#23,872.283,52.68
#24,780.367,51.9
#25,541.3,52.66
#26,681.283,52.07
#27,619.0,52.17
#28,657.35,52.8
#29,665.3,52.17
#30,598.567,51.8
median,680.375,52.64
avg,692.870066667,52.6016666667
