,cost,time
#1,419.983,7.3
#2,459.983,6.95
#3,451.167,7.51
#4,467.217,7.21
#5,453.167,6.98
#6,407.567,7.39
#7,444.133,7.36
#8,359.417,7.24
#9,435.917,7.44
#10,450.833,6.9
#11,413.083,7.23
#12,426.717,7.01
#13,435.833,6.92
#14,421.833,7.2
#15,420.467,7.0
#16,387.4,7.31
#17,361.05,7.25
#18,403.933,7.18
#19,429.633,7.01
#20,451.9,6.84
#21,346.283,7.48
#22,440.25,7.09
#23,436.317,7.25
#24,378.883,7.58
#25,454.8,7.41
#26,383.75,7.45
#27,379.583,6.76
#28,444.083,7.1
#29,421.167,7.14
#30,459.217,7.35
median,428.175,7.22
avg,421.518866667,7.19466666667
