,cost,time
#1,422.833,6.95
#2,409.167,7.0
#3,378.083,6.9
#4,412.167,6.92
#5,381.25,6.93
#6,413.0,6.12
#7,371.917,6.06
#8,343.0,6.25
#9,381.167,6.14
#10,379.167,6.19
#11,416.75,6.3
#12,411.5,5.88
#13,441.333,6.1
#14,418.75,6.07
#15,389.333,6.1
#16,361.583,6.17
#17,366.25,6.09
#18,430.417,7.02
#19,407.083,7.47
#20,449.333,7.46
#21,436.0,7.44
#22,449.25,7.08
#23,388.25,6.91
#24,418.333,7.21
#25,380.667,7.71
#26,418.083,7.57
#27,401.083,7.65
#28,429.583,7.5
#29,416.5,6.93
#30,354.583,7.35
median,410.3335,6.925
avg,402.547166667,6.78233333333
