,cost,time
#1,642.833,30.3
#2,657.617,30.3
#3,709.25,29.81
#4,662.917,30.63
#5,597.767,30.37
#6,362.033,30.52
#7,423.95,30.41
#8,589.417,30.23
#9,813.5,30.31
#10,682.05,30.48
#11,828.333,31.14
#12,724.733,30.39
#13,500.817,30.63
#14,598.667,30.66
#15,779.0,30.95
#16,648.45,31.01
#17,379.25,30.44
#18,618.483,30.39
#19,723.45,29.7
#20,474.233,29.85
#21,795.5,29.87
#22,765.167,30.28
#23,521.167,30.22
#24,768.5,30.62
#25,780.317,30.39
#26,594.233,29.97
#27,709.7,30.33
#28,693.667,30.75
#29,477.85,30.47
#30,645.367,30.23
median,653.0335,30.39
avg,638.9406,30.3883333333
