,cost,time
#1,296.167,1.88
#2,296.167,1.88
#3,296.167,1.85
#4,296.167,1.87
#5,296.167,1.93
#6,296.167,1.81
#7,296.167,1.89
#8,296.167,2.0
#9,296.167,1.99
#10,296.167,1.96
#11,296.167,1.96
#12,342.833,1.87
#13,296.167,1.92
#14,296.167,1.91
#15,296.167,1.88
#16,296.167,1.91
#17,296.167,2.02
#18,296.167,1.83
#19,296.167,1.83
#20,296.167,1.82
#21,296.167,1.81
#22,296.167,1.9
#23,296.167,1.98
#24,296.167,1.81
#25,296.167,1.9
#26,296.167,1.9
#27,296.167,1.9
#28,296.167,1.8
#29,296.167,1.93
#30,296.167,1.89
median,296.167,1.895
avg,297.722533333,1.89433333333
