,cost,time
#1,368.167,7.41
#2,403.75,7.81
#3,415.667,7.61
#4,427.583,7.62
#5,472.75,7.16
#6,450.833,7.62
#7,407.0,7.5
#8,432.333,7.52
#9,385.083,7.34
#10,433.917,7.9
#11,451.0,7.3
#12,346.75,7.46
#13,432.417,7.23
#14,442.75,7.3
#15,383.083,7.39
#16,402.5,7.33
#17,429.25,7.74
#18,419.75,7.0
#19,391.583,7.34
#20,376.5,7.76
#21,411.833,7.39
#22,405.917,7.43
#23,435.583,7.37
#24,414.833,7.21
#25,418.583,7.5
#26,456.75,7.6
#27,341.083,7.56
#28,447.667,7.51
#29,415.667,7.39
#30,391.583,7.6
median,415.667,7.445
avg,413.738833333,7.46333333333
