,cost,time
#1,489.433,40.86
#2,498.617,41.17
#3,485.667,41.13
#4,461.05,42.35
#5,473.1,40.76
#6,503.333,42.13
#7,502.083,40.52
#8,483.667,41.1
#9,479.717,40.38
#10,484.633,40.59
#11,411.667,41.75
#12,471.767,40.58
#13,474.217,40.5
#14,502.283,40.78
#15,479.183,41.01
#16,491.55,41.43
#17,499.75,41.55
#18,474.733,41.65
#19,492.7,40.75
#20,499.883,42.0
#21,493.883,41.05
#22,478.767,41.83
#23,457.0,41.58
#24,484.317,41.09
#25,490.683,41.14
#26,477.633,40.94
#27,457.567,41.77
#28,437.933,40.39
#29,491.867,41.26
#30,489.283,40.2
median,484.475,41.095
avg,480.598866667,41.1413333333
