,cost,time
#1,455.0,17.93
#2,477.5,17.92
#3,444.417,17.88
#4,489.083,18.12
#5,454.583,18.01
#6,473.5,17.9
#7,455.333,18.21
#8,470.75,17.74
#9,465.083,18.03
#10,455.833,18.63
#11,469.167,18.19
#12,431.5,18.05
#13,468.833,18.06
#14,470.0,18.05
#15,482.75,18.34
#16,446.333,18.02
#17,443.25,18.04
#18,449.75,17.64
#19,414.833,18.07
#20,458.5,17.99
#21,458.417,18.04
#22,486.583,18.13
#23,449.5,17.72
#24,478.667,18.45
#25,487.0,18.09
#26,472.75,17.57
#27,441.333,17.56
#28,467.25,17.61
#29,458.917,18.07
#30,496.667,17.54
median,462.0,18.035
avg,462.436066667,17.9866666667
