,cost,time
#1,374.183,6.68
#2,371.083,6.75
#3,391.25,6.72
#4,390.2,6.9
#5,371.583,6.53
#6,381.2,6.76
#7,350.133,6.7
#8,360.4,6.4
#9,366.583,6.8
#10,364.517,6.73
#11,388.217,6.62
#12,392.217,6.52
#13,338.8,6.67
#14,344.267,6.66
#15,359.4,7.02
#16,380.133,6.84
#17,346.5,6.76
#18,342.4,6.66
#19,311.583,6.83
#20,352.533,6.88
#21,406.783,6.94
#22,388.483,6.61
#23,376.05,6.98
#24,384.583,6.93
#25,339.783,6.94
#26,350.433,6.9
#27,354.0,6.8
#28,378.017,7.17
#29,374.05,6.73
#30,410.733,6.69
median,371.333,6.755
avg,368.003233333,6.77066666667
