,cost,time
#1,617.417,75.31
#2,624.833,73.99
#3,613.5,75.03
#4,664.333,73.3
#5,654.0,74.67
#6,622.5,74.23
#7,650.25,75.35
#8,637.833,71.83
#9,605.583,75.06
#10,628.833,73.8
#11,642.25,74.34
#12,634.333,74.65
#13,631.25,76.02
#14,644.083,73.06
#15,662.917,75.04
#16,618.25,73.86
#17,667.833,74.09
#18,648.083,74.2
#19,637.75,74.46
#20,644.667,72.11
#21,652.25,73.74
#22,643.083,73.54
#23,657.583,74.1
#24,675.5,72.79
#25,659.833,74.59
#26,627.75,75.11
#27,661.833,75.95
#28,643.583,74.12
#29,624.5,73.93
#30,634.833,73.38
median,642.6665,74.16
avg,641.041533333,74.1883333333
