,cost,time
#1,334.167,1.88
#2,326.167,1.9
#3,317.0,1.91
#4,317.0,1.85
#5,368.167,1.86
#6,317.0,1.75
#7,368.167,1.85
#8,326.167,1.75
#9,334.167,1.79
#10,368.167,1.93
#11,317.0,1.87
#12,317.0,1.8
#13,326.167,1.92
#14,326.167,1.93
#15,317.0,1.82
#16,334.167,1.81
#17,334.167,1.72
#18,317.0,1.78
#19,326.167,1.8
#20,317.0,1.8
#21,326.167,1.82
#22,326.167,1.9
#23,368.167,1.81
#24,317.0,1.93
#25,317.0,1.85
#26,326.167,1.82
#27,368.167,1.82
#28,334.167,1.87
#29,334.167,1.9
#30,388.75,1.79
median,326.167,1.835
avg,333.797433333,1.841
