,cost,time
#1,571.2,38.02
#2,475.95,38.94
#3,507.483,40.14
#4,439.817,39.22
#5,531.567,39.16
#6,605.883,37.92
#7,498.583,37.32
#8,597.033,33.59
#9,452.683,34.02
#10,530.4,33.18
#11,560.583,33.17
#12,472.717,33.08
#13,471.783,33.33
#14,491.733,33.28
#15,514.8,33.09
#16,521.217,32.96
#17,556.583,33.01
#18,525.583,33.57
#19,411.467,32.92
#20,477.033,34.53
#21,511.317,33.24
#22,460.683,32.96
#23,523.05,32.38
#24,433.05,32.55
#25,509.75,32.73
#26,580.933,32.48
#27,617.217,33.17
#28,478.967,33.28
#29,340.45,32.69
#30,421.05,32.9
median,508.6165,33.21
avg,503.018833333,34.4276666667
