,cost,time
#1,450.75,37.76
#2,436.733,36.94
#3,390.55,36.69
#4,421.8,36.92
#5,442.667,37.0
#6,454.95,36.8
#7,389.467,37.21
#8,406.267,36.5
#9,439.55,36.54
#10,416.3,36.52
#11,438.883,37.9
#12,379.0,37.54
#13,389.983,37.35
#14,418.983,36.45
#15,440.2,36.83
#16,453.633,37.1
#17,414.0,36.75
#18,426.25,37.56
#19,438.667,37.27
#20,441.633,37.35
#21,414.3,37.35
#22,422.3,36.79
#23,449.817,37.04
#24,429.767,37.54
#25,454.067,36.73
#26,443.9,36.73
#27,448.6,37.34
#28,478.05,36.81
#29,441.817,38.5
#30,425.8,36.86
median,437.7,36.97
avg,429.956133333,37.089
