,cost,time
#1,649.917,48.27
#2,585.5,49.33
#3,592.25,48.68
#4,557.417,48.92
#5,581.833,48.84
#6,609.25,47.41
#7,524.333,48.0
#8,604.333,48.25
#9,591.0,48.5
#10,597.75,44.46
#11,550.75,42.87
#12,585.5,47.66
#13,619.417,48.24
#14,532.5,48.46
#15,546.5,48.94
#16,600.833,48.34
#17,572.667,48.99
#18,569.417,48.53
#19,597.25,49.49
#20,577.5,48.36
#21,616.833,47.79
#22,603.583,47.59
#23,553.75,48.57
#24,601.667,46.9
#25,602.667,48.2
#26,570.167,47.94
#27,591.417,48.32
#28,595.333,47.98
#29,543.083,49.58
#30,626.833,48.87
median,591.2085,48.33
avg,585.041666667,48.076
