,cost,time
#1,540.833,1.99
#2,540.833,1.8
#3,519.5,1.89
#4,560.167,1.78
#5,561.333,1.72
#6,588.917,1.89
#7,540.833,1.87
#8,561.333,1.9
#9,540.833,1.91
#10,519.5,1.79
#11,560.167,1.99
#12,519.5,1.88
#13,519.5,1.8
#14,561.333,1.82
#15,519.5,1.9
#16,560.167,1.86
#17,519.5,1.89
#18,519.5,1.86
#19,519.5,1.96
#20,560.167,1.84
#21,519.5,1.87
#22,519.5,1.75
#23,591.167,1.86
#24,540.833,1.84
#25,519.5,1.83
#26,560.167,1.84
#27,519.5,1.97
#28,519.5,1.91
#29,540.833,1.93
#30,594.667,1.87
median,540.833,1.87
avg,541.9361,1.867
