,cost,time
#1,575.8,37.18
#2,525.9,36.7
#3,519.167,35.85
#4,541.317,36.51
#5,511.183,36.77
#6,515.683,36.47
#7,545.667,37.05
#8,489.133,36.91
#9,533.383,36.56
#10,513.733,36.54
#11,568.0,36.28
#12,533.183,36.52
#13,539.633,36.22
#14,488.15,37.04
#15,523.567,37.34
#16,489.317,37.58
#17,515.2,36.9
#18,541.433,36.79
#19,527.017,36.69
#20,530.2,37.11
#21,497.883,37.32
#22,493.183,37.56
#23,521.767,37.23
#24,530.133,37.46
#25,531.167,36.98
#26,550.017,36.48
#27,444.383,36.7
#28,503.667,37.43
#29,471.933,37.73
#30,549.983,37.36
median,524.7335,36.905
avg,520.692733333,36.9086666667
