,cost,time
#1,265.5,1.91
#2,265.5,2.0
#3,237.75,2.01
#4,265.5,2.08
#5,237.75,1.93
#6,265.5,2.12
#7,237.75,2.06
#8,265.5,2.04
#9,265.5,2.04
#10,237.75,1.88
#11,237.75,2.01
#12,237.75,2.03
#13,265.5,1.99
#14,237.75,1.92
#15,237.75,2.12
#16,265.5,2.01
#17,237.75,1.89
#18,237.75,1.94
#19,237.75,1.95
#20,237.75,2.0
#21,237.75,2.02
#22,237.75,1.97
#23,237.75,1.94
#24,265.5,2.0
#25,237.75,1.93
#26,265.5,1.88
#27,265.5,1.98
#28,237.75,2.07
#29,237.75,1.94
#30,237.75,2.08
median,237.75,2.0
avg,247.925,1.99133333333
