,cost,time
#1,395.583,20.92
#2,428.0,20.49
#3,420.917,20.87
#4,447.417,21.14
#5,394.333,20.39
#6,379.5,20.82
#7,424.583,21.2
#8,418.0,20.06
#9,404.0,20.91
#10,430.167,20.62
#11,442.417,21.53
#12,416.167,21.04
#13,382.0,20.75
#14,395.833,20.62
#15,426.5,20.48
#16,386.5,20.41
#17,438.5,20.5
#18,397.083,20.83
#19,391.167,20.32
#20,411.667,20.96
#21,422.5,20.25
#22,410.0,20.26
#23,433.917,17.24
#24,416.5,17.93
#25,408.0,17.49
#26,446.417,17.47
#27,407.75,19.31
#28,393.667,20.33
#29,416.833,20.02
#30,400.083,20.93
median,413.917,20.495
avg,412.8667,20.203
