,cost,time
#1,557.333,21.12
#2,532.333,20.37
#3,537.5,20.59
#4,560.917,21.34
#5,524.917,20.88
#6,542.75,20.26
#7,541.75,20.85
#8,534.25,21.32
#9,530.583,20.48
#10,581.833,21.06
#11,543.75,20.41
#12,549.0,20.61
#13,548.0,21.94
#14,541.083,20.78
#15,525.833,20.75
#16,576.0,20.43
#17,474.25,20.92
#18,527.083,20.53
#19,562.5,20.33
#20,541.333,20.78
#21,569.083,20.43
#22,567.417,20.1
#23,514.083,20.56
#24,556.667,20.44
#25,545.583,19.85
#26,547.667,20.9
#27,597.417,20.69
#28,550.0,21.07
#29,544.917,20.7
#30,563.5,21.11
median,545.25,20.695
avg,546.311066667,20.72
