,cost,time
#1,498.4,41.62
#2,477.883,41.98
#3,464.3,42.21
#4,488.5,41.88
#5,490.717,41.89
#6,491.967,41.07
#7,444.15,42.63
#8,504.617,41.92
#9,500.0,42.12
#10,470.683,41.77
#11,447.067,41.5
#12,500.033,38.03
#13,417.917,37.66
#14,497.333,37.85
#15,514.25,37.91
#16,478.067,38.18
#17,476.333,37.94
#18,508.783,37.79
#19,506.233,37.66
#20,487.0,37.76
#21,510.017,38.14
#22,482.9,37.53
#23,512.3,38.46
#24,497.25,38.06
#25,515.417,37.46
#26,503.767,37.65
#27,519.45,37.58
#28,477.067,38.67
#29,476.917,37.75
#30,463.933,37.64
median,491.342,38.1
avg,487.4417,39.3436666667
