,cost,time
#1,430.883,36.61
#2,464.433,36.99
#3,438.933,37.53
#4,474.717,36.45
#5,453.167,37.4
#6,420.0,36.95
#7,440.3,36.99
#8,454.283,37.56
#9,470.717,36.69
#10,470.25,36.27
#11,414.65,36.41
#12,460.267,37.1
#13,459.283,37.57
#14,416.183,38.07
#15,472.3,36.77
#16,448.917,37.34
#17,414.45,36.66
#18,467.667,37.66
#19,452.933,37.53
#20,470.65,36.74
#21,405.367,37.38
#22,443.35,37.89
#23,434.217,36.71
#24,412.9,38.11
#25,435.333,37.45
#26,414.433,37.67
#27,489.367,36.69
#28,464.05,37.18
#29,446.0,36.96
#30,445.533,36.77
median,447.4585,37.045
avg,446.184433333,37.1366666667
