,cost,time
#1,372.333,1.92
#2,368.733,1.95
#3,371.833,1.82
#4,383.583,1.9
#5,372.333,1.84
#6,368.733,1.88
#7,371.833,1.87
#8,368.733,1.84
#9,372.333,1.84
#10,368.733,1.83
#11,368.733,1.84
#12,368.733,1.83
#13,368.733,2.02
#14,368.733,1.85
#15,368.733,1.91
#16,368.733,1.98
#17,368.733,1.89
#18,371.833,1.69
#19,368.733,1.86
#20,368.733,1.88
#21,368.733,1.8
#22,368.733,1.88
#23,368.733,1.87
#24,372.333,1.9
#25,372.333,1.86
#26,372.333,1.87
#27,368.733,1.77
#28,368.733,1.78
#29,368.733,1.84
#30,368.733,1.87
median,368.733,1.865
avg,370.258,1.86266666667
