,cost,time
#1,500.6,16.71
#2,531.667,16.98
#3,479.683,16.8
#4,511.067,16.92
#5,565.083,16.81
#6,504.167,16.67
#7,510.333,16.69
#8,554.667,16.84
#9,530.183,17.1
#10,509.333,16.85
#11,532.683,17.08
#12,458.783,16.92
#13,501.833,17.22
#14,438.117,17.26
#15,491.333,16.87
#16,522.667,16.72
#17,505.133,16.64
#18,482.417,16.68
#19,521.417,17.0
#20,533.55,16.56
#21,512.333,16.97
#22,536.167,16.92
#23,539.7,17.49
#24,479.067,16.91
#25,476.483,17.4
#26,474.983,16.69
#27,526.333,16.76
#28,510.183,16.72
#29,439.667,16.86
#30,515.2,16.91
median,510.258,16.865
avg,506.4944,16.8983333333
